geography,CCAA,wave,period,age_group_scheme,ego_age_group,alter_age_group,ego_population_size,ego_sample_size_LFS,ego_sample_size_DCS,reciprocity,cores_LFS,cores_DCS,noncores_DCS,all_LFS_DCS,all_DCS_DCS
ccaa,"Murcia, Región de",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,199123.09,14545,767,none,0.31936135583271635,0.22415405496255272,1.0052240428576547,1.324585398690371,1.2293780978202073
ccaa,"Murcia, Región de",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,199123.09,14545,767,unweighted,0.31936135583271635,0.2850238786507801,1.3022786446411883,1.6216400004739047,1.5873025232919684
ccaa,"Murcia, Región de",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,199123.09,14545,767,weighted,0.31936135583271635,0.2604643249028311,1.1824240431896436,1.50178539902236,1.4428883680924747
ccaa,"Navarra, Comunidad Foral de",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,77104.05,14545,767,none,0.24874880113301442,0.22471088954580148,1.0504611217207687,1.299209922853783,1.27517201126657
ccaa,"Navarra, Comunidad Foral de",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,77104.05,14545,767,unweighted,0.24874880113301442,0.33402063986848174,1.5446653366326217,1.793414137765636,1.8786859765011035
ccaa,"Navarra, Comunidad Foral de",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,77104.05,14545,767,weighted,0.24874880113301442,0.28991670584075807,1.3452654658401908,1.5940142669732051,1.635182171680949
ccaa,País Vasco,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,238269.09,14545,767,none,0.29515221634497363,0.22057294447980322,1.0765539883804696,1.3717062047254431,1.2971269328602728
ccaa,País Vasco,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,238269.09,14545,767,unweighted,0.29515221634497363,0.38701003615832863,1.847008183468541,2.142160399813515,2.2340182196268694
ccaa,País Vasco,3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,238269.09,14545,767,weighted,0.29515221634497363,0.3198565526905979,1.536147890665394,1.8313001070103676,1.856004443355992
ccaa,"Rioja, La",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,37253.1,14545,767,none,0.213576856691121,0.216096810474609,1.0784419526970013,1.2920188093881222,1.2945387631716103
ccaa,"Rioja, La",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,37253.1,14545,767,unweighted,0.213576856691121,0.3425721020040029,1.6443182768248745,1.8578951335159954,1.9868903788288774
ccaa,"Rioja, La",3,"[2020-12-14, 2021-01-10]",10y10y,30-39,60+,37253.1,14545,767,weighted,0.213576856691121,0.29154227257631515,1.4160003820944151,1.629577238785536,1.7075426546707302
ccaa,Andalucía,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,1377730.78,23025,1029,none,0.46348583429340234,0.7321457631222531,0.5438676828720168,1.007353517165419,1.2760134459942698
ccaa,Andalucía,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,1377730.78,23025,1029,unweighted,0.4741389642176681,0.4892776082270093,0.5402114871387377,1.014350451356406,1.029489095365747
ccaa,Andalucía,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,1377730.78,23025,1029,weighted,0.4707888219981712,0.7321457631222531,0.5438676828720168,1.0146565048701879,1.2760134459942698
ccaa,Aragón,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,212442.7,23025,1029,none,0.49943669516533157,0.7386282175294663,0.5613978149746419,1.0608345101399734,1.3000260325041082
ccaa,Aragón,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,212442.7,23025,1029,unweighted,0.5026003953065933,0.48993807419015084,0.5447684307995715,1.0473688261061649,1.0347065049897224
ccaa,Aragón,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,212442.7,23025,1029,weighted,0.5016054909462393,0.7386282175294663,0.5613978149746419,1.0630033059208812,1.3000260325041082
ccaa,"Asturias, Principado de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,165491.2,23025,1029,none,0.3983275847900069,0.7017678888165353,0.5543787458121324,0.9527063306021393,1.2561466346286676
ccaa,"Asturias, Principado de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,165491.2,23025,1029,unweighted,0.4122456662348209,0.43215988498296465,0.4628740858341533,0.8751197520689742,0.895033970817118
ccaa,"Asturias, Principado de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,165491.2,23025,1029,weighted,0.4078687786352001,0.7017678888165353,0.5543787458121324,0.9622475244473325,1.2561466346286676
ccaa,"Balears, Illes",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,216172.14,23025,1029,none,0.4605501893074658,0.7256558966546626,0.558888374599609,1.0194385639070749,1.2845442712542716
ccaa,"Balears, Illes",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,216172.14,23025,1029,unweighted,0.47157406592727436,0.4690115490804572,0.5226859207007386,0.994259986628013,0.9916974697811958
ccaa,"Balears, Illes",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,216172.14,23025,1029,weighted,0.46810733316900555,0.7256558966546626,0.558888374599609,1.0269957077686147,1.2845442712542716
ccaa,Canarias,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,393064.15,23025,1029,none,0.29887126566999306,0.7057355870749548,0.5359368182845772,0.8348080839545702,1.241672405359532
ccaa,Canarias,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,393064.15,23025,1029,unweighted,0.3165223157593996,0.43639679066433873,0.46588242157581117,0.7824047373352108,0.90227921224015
ccaa,Canarias,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,393064.15,23025,1029,weighted,0.31097150313030725,0.7057355870749548,0.5359368182845772,0.8469083214148845,1.241672405359532
ccaa,Cantabria,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,97133.95,23025,1029,none,0.4252184740762627,0.7239818885766905,0.5624199202585483,0.9876383943348109,1.286401808835239
ccaa,Cantabria,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,97133.95,23025,1029,unweighted,0.43253965271668665,0.4583720767575307,0.49160295882253424,0.9241426115392208,0.9499750355800649
ccaa,Cantabria,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,97133.95,23025,1029,weighted,0.43023732562275946,0.7239818885766905,0.5624199202585483,0.9926572458813077,1.286401808835239
ccaa,Castilla y León,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,0-9,358251.65,23025,1029,none,0.41380518414918677,0.7119702027111193,0.5623454812361197,0.9761506653853065,1.274315683947239
